Name,HR,R,SB
James Smith,12,79,6
John Smith,22,116,0
Robert Smith,3,96,0
Michael Smith,7,67,19
William Smith,9,80,0
David Smith,28,106,3
Richard Smith,31,110,13
Charles Smith,12,90,7
Joseph Smith,14,88,0
Thomas Smith,32,99,1
Christopher Smith,13,77,0
Daniel Smith,31,102,6
Paul Smith,37,127,0
Mark Smith,19,93,12
George Smith,28,109,0
James Johnson,1,64,12
John Johnson,14,91,0
Robert Johnson,14,94,2
Michael Johnson,18,104,2
William Johnson,11,100,3
David Johnson,16,115,4
Richard Johnson,-1,80,0
Charles Johnson,11,101,7
Joseph Johnson,9,86,1
Thomas Johnson,27,98,6
Christopher Johnson,16,100,19
Daniel Johnson,23,110,10
Paul Johnson,3,79,0
Mark Johnson,24,101,20
George Johnson,31,88,2
James Williams,2,48,6
John Williams,14,110,7
Robert Williams,10,103,9
Michael Williams,19,83,8
William Williams,18,85,14
David Williams,24,90,25
Richard Williams,16,97,0
Charles Williams,15,79,0
Joseph Williams,5,75,2
Thomas Williams,12,108,3
Christopher Williams,24,89,5
Daniel Williams,12,109,15
Paul Williams,11,97,6
Mark Williams,18,105,0
George Williams,2,83,13
James Jones,14,90,0
John Jones,18,95,4
Robert Jones,22,81,15
Michael Jones,28,129,9
William Jones,22,99,0
David Jones,18,100,29
Richard Jones,15,82,16
Charles Jones,36,128,35
Joseph Jones,9,72,0
Thomas Jones,37,98,2
Christopher Jones,25,86,29
Daniel Jones,18,92,0
Paul Jones,26,104,0
Mark Jones,28,113,6
George Jones,11,96,0
James Brown,2,87,0
John Brown,7,74,26
Robert Brown,14,78,6
Michael Brown,26,98,0
William Brown,30,110,13
David Brown,18,93,0
Richard Brown,11,99,0
Charles Brown,15,98,12
Joseph Brown,18,95,0
Thomas Brown,9,96,6
Christopher Brown,30,104,0
Daniel Brown,16,95,12
Paul Brown,18,90,10
Mark Brown,2,77,13
George Brown,13,82,11
James Davis,27,113,0
John Davis,11,84,16
Robert Davis,15,91,7
Michael Davis,20,72,11
William Davis,13,96,0
David Davis,9,92,8
Richard Davis,6,68,30
Charles Davis,13,90,19
Joseph Davis,16,84,0
Thomas Davis,29,111,18
Christopher Davis,6,90,2
Daniel Davis,8,92,0
Paul Davis,4,76,3
Mark Davis,2,68,5
George Davis,35,126,0
James Miller,31,115,6
John Miller,17,94,10
Robert Miller,22,85,0
Michael Miller,9,91,9
William Miller,17,96,17
David Miller,7,89,6
Richard Miller,18,94,4
Charles Miller,8,86,8
Joseph Miller,26,112,14
Thomas Miller,21,96,24
Christopher Miller,18,88,0
Daniel Miller,28,103,17
Paul Miller,5,86,0
Mark Miller,16,92,1
George Miller,13,101,16
James Wilson,4,104,2
John Wilson,15,97,2
Robert Wilson,13,82,14
Michael Wilson,22,104,3
William Wilson,23,93,8
David Wilson,25,108,9
Richard Wilson,7,92,11
Charles Wilson,26,121,19
Joseph Wilson,26,88,0
Thomas Wilson,25,99,6
Christopher Wilson,6,110,10
Daniel Wilson,18,78,0
Paul Wilson,17,87,0
Mark Wilson,11,80,7
George Wilson,11,77,12
James Moore,20,81,1
John Moore,22,84,16
Robert Moore,18,107,0
Michael Moore,9,90,21
William Moore,18,101,18
David Moore,16,97,6
Richard Moore,18,85,0
Charles Moore,22,98,3
Joseph Moore,18,74,5
Thomas Moore,20,83,3
Christopher Moore,26,100,0
Daniel Moore,24,107,0
Paul Moore,11,84,12
Mark Moore,19,99,0
George Moore,26,113,15
James Taylor,21,85,0
John Taylor,21,76,11
Robert Taylor,28,110,0
Michael Taylor,34,110,15
William Taylor,30,99,5
David Taylor,14,93,9
Richard Taylor,13,89,0
Charles Taylor,27,116,5
Joseph Taylor,35,106,3
Thomas Taylor,13,113,0
Christopher Taylor,7,88,19
Daniel Taylor,23,86,0
Paul Taylor,33,123,20
Mark Taylor,29,117,16
George Taylor,3,72,15
James Anderson,17,81,0
John Anderson,16,82,4
Robert Anderson,14,111,0
Michael Anderson,29,123,13
William Anderson,12,104,0
David Anderson,10,75,0
Richard Anderson,37,130,4
Charles Anderson,20,88,9
Joseph Anderson,22,84,24
Thomas Anderson,13,81,5
Christopher Anderson,34,101,0
Daniel Anderson,22,120,0
Paul Anderson,21,110,16
Mark Anderson,17,83,5
George Anderson,36,113,22
James Thomas,20,87,0
John Thomas,12,100,5
Robert Thomas,21,99,6
Michael Thomas,19,107,20
William Thomas,25,76,10
David Thomas,18,94,0
Richard Thomas,9,80,0
Charles Thomas,33,127,11
Joseph Thomas,11,87,15
Thomas Thomas,18,91,13
Christopher Thomas,10,80,25
Daniel Thomas,13,89,0
Paul Thomas,18,108,2
Mark Thomas,24,104,3
George Thomas,19,124,28
James Jackson,21,78,0
John Jackson,18,100,6
Robert Jackson,12,82,14
Michael Jackson,7,105,4
William Jackson,9,82,1
David Jackson,19,95,0
Richard Jackson,15,76,12
Charles Jackson,11,94,0
Joseph Jackson,17,115,25
Thomas Jackson,13,97,11
Christopher Jackson,27,99,0
Daniel Jackson,15,82,0
Paul Jackson,13,89,0
Mark Jackson,16,85,0
George Jackson,15,86,22
James White,15,82,0
John White,20,67,23
Robert White,34,117,0
Michael White,16,103,15
William White,22,112,5
David White,11,73,0
Richard White,7,91,3
Charles White,12,78,0
Joseph White,13,100,2
Thomas White,15,83,14
Christopher White,19,97,2
Daniel White,25,100,18
Paul White,24,82,4
Mark White,21,90,3
George White,35,118,10
James Harris,20,105,9
John Harris,10,87,0
Robert Harris,7,92,5
